,Amount,Consume,Necessity,Days
0,152,17,Low,10
1,485,23,Low,18
2,910,28,Low,28
3,320,22,Medium,15
4,156,21,Medium,3
5,750,34,High,21
6,664,13,Low,47
7,171,30,Low,4
8,516,29,Medium,13
9,264,19,Medium,11
10,380,24,High,17
11,508,16,High,32
12,137,7,Medium,21
13,422,11,Medium,37
14,149,6,High,26
15,921,34,Low,25
16,713,33,Low,20
17,180,47,High,4
18,711,36,High,15
19,358,3,Low,101
20,819,44,High,17
21,393,43,Low,8
22,541,22,Low,25
23,463,29,High,12
24,855,48,Medium,17
25,435,27,Medium,16
26,241,45,Medium,4
27,326,5,Medium,64
28,210,10,Medium,20
29,509,22,Medium,24
30,363,29,Medium,11
31,302,49,High,4
32,797,20,Medium,39
33,610,40,Low,15
34,524,30,Medium,17
35,108,10,Low,10
36,560,25,High,20
37,731,37,Medium,19
38,525,38,Low,16
39,749,25,High,29
40,832,15,Medium,54
41,239,48,Medium,5
42,736,33,Low,20
43,612,21,Low,30
44,925,14,Low,59
45,616,36,High,15
46,293,12,Low,22
47,881,9,Low,94
48,554,26,Low,23
49,180,15,Medium,13
50,534,31,Low,18
51,868,6,Low,129
52,696,33,High,23
53,70,14,High,2
54,216,7,High,32
55,323,46,High,6
56,437,43,High,10
57,650,12,Medium,49
58,365,39,Low,8
59,63,30,Low,1
60,291,48,Low,5
61,826,19,High,44
62,395,34,High,11
63,614,4,High,146
64,947,20,Medium,44
65,389,48,High,4
66,141,27,Medium,6
67,416,15,Low,27
68,504,6,High,74
69,477,35,Medium,19
70,558,32,Medium,15
71,825,19,High,43
72,992,47,Medium,23
73,84,2,High,39
74,255,15,Medium,15
75,130,46,Low,3
76,981,16,Low,63
77,611,13,Low,47
78,921,27,High,32
79,437,41,Low,9
80,51,6,Low,7
81,439,47,Low,5
82,615,39,High,15
83,155,9,Medium,15
84,821,35,High,22
85,871,19,High,40
86,526,20,Low,26
87,752,39,Medium,17
88,451,48,Low,8
89,779,7,Low,106
90,605,21,High,30
91,211,24,High,7
92,251,19,High,15
93,319,18,Low,17
94,912,3,Medium,256
95,865,34,Medium,25
96,320,22,Low,12
97,505,10,Medium,48
98,511,40,Low,11
99,776,40,Medium,19
100,301,24,Low,13
101,751,15,Medium,51
102,345,32,High,11
103,774,15,High,53
104,769,12,High,62
105,798,36,High,21
106,387,2,Low,131
107,928,5,Medium,164
108,102,1,Low,75
109,841,8,High,96
110,971,4,Medium,222
111,266,49,Low,4
112,813,15,High,54
113,237,8,Medium,28
114,429,12,Medium,32
115,542,46,High,9
116,90,26,High,6
117,206,18,Medium,10
118,64,43,High,4
119,862,20,Low,40
120,114,17,High,9
121,906,11,High,81
122,888,19,High,47
123,570,16,Medium,31
124,393,34,Medium,8
125,178,15,High,12
126,697,29,Medium,21
127,521,4,High,125
128,112,10,Low,11
129,188,20,Medium,7
130,548,46,High,9
131,642,19,Medium,32
132,441,33,Low,12
133,724,13,Low,54
134,468,7,High,64
135,338,3,Medium,89
136,428,15,Low,28
137,822,8,Medium,92
138,539,9,High,55
139,280,38,Low,5
140,90,1,Low,48
141,184,19,Low,11
142,250,25,High,12
143,889,28,High,29
144,829,16,Low,48
145,979,15,High,64
146,97,43,Low,4
147,552,10,Low,51
148,456,5,Low,74
149,623,44,Medium,13
150,777,18,Low,41
151,854,28,High,30
152,148,18,Medium,7
153,733,7,High,103
154,921,29,Low,31
155,775,26,High,29
156,596,10,Medium,54
157,788,23,High,34
158,662,40,Medium,13
159,992,29,Low,33
160,511,5,Low,90
161,692,27,High,25
162,818,35,High,22
163,54,39,Low,2
164,267,31,Low,8
165,552,8,High,66
166,816,35,Low,22
167,447,34,Medium,10
168,844,21,High,37
169,442,17,High,24
170,256,33,Low,7
171,64,11,Low,7
172,907,29,Medium,31
173,603,45,High,13
174,941,40,High,25
175,510,46,High,11
176,740,48,High,15
177,913,31,Medium,26
178,792,21,High,38
179,290,43,Medium,3
180,613,13,High,44
181,145,49,Medium,3
182,949,31,Low,28
183,783,39,Medium,19
184,534,5,High,103
185,456,9,Low,44
186,280,38,High,7
187,704,41,Low,14
188,220,1,Medium,131
189,590,33,Medium,13
190,85,18,Low,8
191,574,30,Low,19
192,209,35,Low,8
193,888,17,High,51
194,748,6,Medium,118
195,292,4,High,64
196,135,29,Medium,4
197,845,26,High,33
198,627,37,Medium,15
199,731,25,Low,28
200,606,21,Low,24
201,623,20,Medium,28
202,845,17,Low,51
203,669,43,Medium,16
204,605,17,Low,38
205,389,29,Medium,15
206,847,42,High,22
207,380,22,Medium,20
208,555,4,High,120
209,397,26,High,15
210,522,48,Low,11
211,280,34,High,8
212,239,4,Medium,56
213,274,10,Medium,27
214,434,38,Low,9
215,426,42,Low,11
216,332,31,High,12
217,682,32,High,19
218,794,41,Low,20
219,308,39,Low,6
220,408,13,Medium,28
221,759,35,High,20
222,505,11,High,44
223,460,2,Medium,156
224,698,10,Medium,65
225,367,9,Medium,36
226,726,17,Medium,44
227,274,21,High,14
228,868,25,Low,35
229,283,24,High,13
230,733,14,Medium,50
231,876,30,High,27
232,423,20,Medium,22
233,721,15,Low,43
234,657,43,Low,12
235,521,37,Low,10
236,282,43,High,4
237,741,25,Medium,27
238,162,7,High,22
239,879,35,High,22
240,546,11,High,50
241,491,22,Low,21
242,613,4,Medium,142
243,317,41,High,7
244,559,7,Medium,78
245,856,45,Low,22
246,435,43,High,10
247,436,23,Medium,14
248,162,37,Low,4
249,662,31,High,21
250,674,40,High,17
251,130,22,Medium,11
252,748,39,Medium,17
253,162,23,High,5
254,51,47,High,2
255,691,24,Low,31
256,269,23,Low,12
257,615,39,High,14
258,904,41,Medium,23
259,785,28,Medium,31
260,274,9,High,26
261,434,23,Low,16
262,452,48,High,9
263,687,37,Medium,18
264,179,40,High,7
265,102,2,High,38
266,733,23,Low,31
267,779,32,Medium,26
268,721,41,Medium,17
269,759,3,High,221
270,465,42,Medium,12
271,296,27,Medium,9
272,885,10,Medium,83
273,488,16,Medium,29
274,252,14,Low,16
275,233,27,Low,7
276,172,3,Low,47
277,450,8,Low,53
278,816,40,Low,20
279,343,7,Medium,48
280,329,12,High,21
281,886,23,High,37
282,933,26,Low,33
283,659,38,Medium,16
284,247,22,Low,8
285,956,39,High,20
286,560,31,Medium,19
287,801,6,Medium,121
288,193,8,Medium,23
289,658,22,High,27
290,250,20,High,8
291,173,37,Low,5
292,236,29,Low,9
293,375,20,High,17
294,513,9,Low,52
295,398,12,High,35
296,820,29,Medium,27
297,709,21,Low,30
298,813,26,High,28
299,981,9,High,103
300,452,33,High,12
301,395,42,Low,10
302,560,13,Low,41
303,196,25,Medium,7
304,197,48,Low,2
305,913,17,Low,55
306,760,30,Low,27
307,869,5,Medium,162
308,538,30,Medium,17
309,978,5,Medium,182
310,985,48,Low,15
311,689,36,High,19
312,600,39,Low,18
313,387,35,Medium,9
314,921,29,Low,28
315,690,23,Low,29
316,828,43,High,17
317,522,47,High,9
318,995,25,Low,39
319,200,46,Medium,5
320,464,29,Low,16
321,347,27,Low,10
322,660,23,Low,27
323,312,11,Medium,28
324,193,12,Medium,14
325,395,25,Medium,13
326,673,19,Medium,35
327,621,22,Low,30
328,930,49,Medium,21
329,51,18,Low,6
330,946,23,Low,39
331,353,7,Low,48
332,303,3,High,93
333,701,38,Medium,17
334,502,28,Medium,15
335,209,8,High,24
336,282,13,Low,24
337,148,12,High,9
338,865,7,High,112
339,257,16,Low,20
340,180,6,Medium,29
341,453,49,Low,6
342,201,16,Low,13
343,103,7,High,13
344,169,10,High,16
345,722,29,Medium,25
346,969,4,Low,232
347,677,43,High,15
348,636,48,Medium,9
